2017-11-23 11:26:43 INFO  Browser:23 - Maximixe the window
2017-11-23 11:26:43 INFO  Browser:24 - Web application launched: https://devconnect.lrsus.com/
2017-11-23 11:34:52 INFO  DataStoreRepository:74 - Property file is loaded successfully: TestData/loginTestData.properties
2017-11-23 11:34:53 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-23 11:34:53 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-23 11:35:00 INFO  Browser:21 - Implicit wait applied on the driver for 60 seconds
2017-11-23 11:35:01 INFO  Browser:23 - Maximixe the window
2017-11-23 11:35:01 INFO  Browser:24 - Web application launched: https://devconnect.lrsus.com/
2017-11-23 11:37:05 INFO  DataStoreRepository:74 - Property file is loaded successfully: TestData/loginTestData.properties
2017-11-23 11:37:05 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-23 11:37:05 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-23 11:37:10 INFO  Browser:21 - Implicit wait applied on the driver for 60 seconds
2017-11-23 11:37:11 INFO  Browser:23 - Maximixe the window
2017-11-23 11:37:11 INFO  Browser:24 - Web application launched: https://devconnect.lrsus.com/
2017-11-23 11:38:07 INFO  DataStoreRepository:74 - Property file is loaded successfully: TestData/loginTestData.properties
2017-11-23 11:38:07 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-23 11:38:07 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-23 11:38:11 INFO  Browser:21 - Implicit wait applied on the driver for 60 seconds
2017-11-23 11:38:12 INFO  Browser:23 - Maximixe the window
2017-11-23 11:38:12 INFO  Browser:24 - Web application launched: https://devconnect.lrsus.com/
2017-11-23 11:45:51 INFO  DataStoreRepository:74 - Property file is loaded successfully: TestData/loginTestData.properties
2017-11-23 11:45:51 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-23 11:45:51 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-23 11:45:56 INFO  Browser:21 - Implicit wait applied on the driver for 60 seconds
2017-11-23 11:45:57 INFO  Browser:23 - Maximixe the window
2017-11-23 11:45:57 INFO  Browser:24 - Web application launched: https://devconnect.lrsus.com/
2017-11-23 12:53:10 INFO  DataStoreRepository:74 - Property file is loaded successfully: TestData/loginTestData.properties
2017-11-23 12:53:10 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
